1	2	3	0	0	0	0	0	0	0	0	0	0	0	0
4	5	6	1	2	3	0	0	0	0	0	0	0	0	0
7	8	9	4	5	6	0	0	0	0	0	0	0	0	0
10	11	12	1	2	3	0	0	0	0	0	0	0	0	0
13	14	15	4	5	6	10	11	12	0	0	0	0	0	0
16	17	18	7	8	9	13	14	15	0	0	0	0	0	0
19	20	21	10	11	12	16	17	18	0	0	0	0	0	0
22	23	24	1	2	3	13	14	15	19	20	21	0	0	0
25	26	27	4	5	6	16	17	18	22	23	24	0	0	0
28	29	30	7	8	9	19	20	21	25	26	27	0	0	0
31	32	33	10	11	12	22	23	24	28	29	30	0	0	0
34	35	36	13	14	15	25	26	27	31	32	33	0	0	0
37	38	39	16	17	18	28	29	30	34	35	36	0	0	0
40	41	42	19	20	21	31	32	33	37	38	39	0	0	0
43	44	45	1	2	3	22	23	24	34	35	36	40	41	42
46	47	48	4	5	6	25	26	27	37	38	39	43	44	45
49	50	51	7	8	9	28	29	30	40	41	42	46	47	48
10	11	12	31	32	33	43	44	45	49	50	51	0	0	0
13	14	15	34	35	36	46	47	48	0	0	0	0	0	0
16	17	18	37	38	39	49	50	51	0	0	0	0	0	0
19	20	21	40	41	42	0	0	0	0	0	0	0	0	0
22	23	24	43	44	45	0	0	0	0	0	0	0	0	0
25	26	27	46	47	48	0	0	0	0	0	0	0	0	0
28	29	30	49	50	51	0	0	0	0	0	0	0	0	0
31	32	33	0	0	0	0	0	0	0	0	0	0	0	0
34	35	36	0	0	0	0	0	0	0	0	0	0	0	0
37	38	39	0	0	0	0	0	0	0	0	0	0	0	0
40	41	42	0	0	0	0	0	0	0	0	0	0	0	0
43	44	45	0	0	0	0	0	0	0	0	0	0	0	0
1	2	3	46	47	48	0	0	0	0	0	0	0	0	0
4	5	6	49	50	51	0	0	0	0	0	0	0	0	0
7	8	9	0	0	0	0	0	0	0	0	0	0	0	0
10	11	12	0	0	0	0	0	0	0	0	0	0	0	0
13	14	15	0	0	0	0	0	0	0	0	0	0	0	0
16	17	18	0	0	0	0	0	0	0	0	0	0	0	0
19	20	21	0	0	0	0	0	0	0	0	0	0	0	0
22	23	24	0	0	0	0	0	0	0	0	0	0	0	0
25	26	27	0	0	0	0	0	0	0	0	0	0	0	0
28	29	30	0	0	0	0	0	0	0	0	0	0	0	0
31	32	33	0	0	0	0	0	0	0	0	0	0	0	0
34	35	36	0	0	0	0	0	0	0	0	0	0	0	0
37	38	39	0	0	0	0	0	0	0	0	0	0	0	0
40	41	42	0	0	0	0	0	0	0	0	0	0	0	0
43	44	45	0	0	0	0	0	0	0	0	0	0	0	0
46	47	48	0	0	0	0	0	0	0	0	0	0	0	0
49	50	51	0	0	0	0	0	0	0	0	0	0	0	0
